start	end	text
479040	481700	Have these words affected how voters see her?
482260	485380	Well, people I've spoken with in the Arab-American community
485380	489100	say that Harris is not viewed as being as toxic as Biden.
489480	491500	I was speaking to Rubel Roman.
491720	495020	She's a Democratic Georgia state legislator, a Palestinian American,
495120	496220	and she put it this way.
496480	498660	I can tell you right now that if I had, for example,
498760	501620	tried to go to a mosque or Arab community event
501620	503220	and urged them to vote for Joe Biden,
503360	504740	I would never be invited back.
505260	508160	The anger was so deep and the hurt was so deep.
508440	510300	Even for me, I tell people that.
511060	514400	And I think people would at least be open to hearing from her
514400	516300	and to let her make her case.
516640	519640	And some Democrats who voted uncommitted during the primaries
519640	521960	told me that they're willing to give Harris a chance.
522140	525340	I mean, to be clear, they are not saying they will definitively vote for her,
525340	526520	but there's a possibility.
527140	530500	I'll also say that Harris was one of the earlier people in the administration
530500	534160	to show a less dismissive response to some of the protests here at home.
534460	537200	Today, she is meeting separately with Israel's Prime Minister,
537560	538380	separately from Biden.
538540	540140	What do you expect from her meeting?
540980	544200	What I'm watching for is how closely she sticks to the president.
544500	546780	You know, she inherits this problem now in her campaign
546780	550440	and following the attack in October that killed more than 1,200 people.
550660	553700	There are now more than 39,000 Palestinians who've been killed
553700	555560	and there's still no ceasefire.
555700	558420	And some people will blame her because she is a part of this administration.
558840	561200	She has a real delicate balancing act
561200	564240	where she's going to try not to alienate supporters of Israel
564240	566620	who make up a key part of the Democratic Party,
566620	571500	but she's also trying to win back some of the young, progressive, brown and black voters
571500	574560	whom Biden alienated with some of his decisions about this war.
574900	577220	That is NPR's Asma Khaled. Asma, thank you.
577600	578640	Good to talk to you.
587060	590960	Vice President Harris faces another fundamental challenge to win the election.
591340	595040	The likely Democratic nominee will have to hold together a broad coalition,
595040	597280	and they have some very different views on some issues.
597700	601240	President Biden managed this in 2020, but the coalition has frayed
601240	603740	as we've just heard, and Harris is a different figure.
604320	606760	Her challenge becomes plain what comes to her record in law enforcement.
607160	610220	My co-host Steve Inskeep has been talking with voters in western Pennsylvania.
610220	611360	Steve, what did you find out?
611840	615100	Well, some contrasting opinions of a big part of Harris's resume.
615360	619400	Her history as a San Francisco prosecutor in California Attorney General.
619560	623360	She raised this in her first campaign event
623360	626280	while running for president talking of Donald Trump and saying,
626640	629780	as a prosecutor, she knew what a predator was or a fraudster.
630560	633860	How voters take that message depends on who you talk to.
634060	637940	On NPR's Morning Edition yesterday, we heard Kathleen Madonna Emerling,
638400	641420	a Democratic Party activist in the Pittsburgh suburbs,
641600	643140	who really likes her new candidate.
643500	648460	My first thought was, this is the ideal suburban candidate
648460	654460	because she straddles the line between being approachable,
655500	661440	relatable, joyful event, while also having incredible public safety credentials.
661800	668860	Because often in the suburbs, people want someone who is pro-public safety, pro-police.
669320	673500	Because many people in her suburb have military or police backgrounds.
673500	679800	And when you can say, this is a clear case of a prosecutor against a felon, it's a home run.
680240	684560	Although for some people in the Democratic Coalition, Michelle, this is a more complicated subject.
684720	689420	And I can co-sign that because I have, as they say, people of that way where you are.
690000	692580	So what is another way people see the vice president's record?
693020	695720	As a potential mark against her.
696020	699260	I also went into central Pittsburgh this week to the Hill District,
699260	703160	which is a historically black neighborhood, and talked with Adrienne Dilworth.
703600	706480	She said she had mixed feelings about Harris.
706720	710560	We spoke here while dodging cars in a grocery store parking lot.
710820	717340	I think they should have put out a broader net for candidates to see who could be actually the best
717340	721860	and not just, you know, like, okay, we're just going to push the VP for the position.
722180	725180	Why do you have mixed feelings about vice president Harris?
726200	727660	Just some of her history.
728220	729800	We better get away from this.
731480	734600	It would be bad for the interview if you run over in the middle here.
734600	735820	Yeah, no, we're not going to have that.
736360	743260	From just some of what I'm hearing from what of her history of some of the people that she's had incarcerated in the past.
744180	747180	She was referring to part of Harris' record as a prosecutor.
747440	748780	She fought to put people in prison.
749120	752840	Sometimes she clashed with civil rights groups and activists over her decisions.
752840	756360	And she's been attacked over the years on the left for this.
756620	759300	Now the attack is being repeated by Republicans.
759920	762540	I guess you could say that Republicans are just trolling here,
762540	766880	but they are also explicitly seeking some of the black vote for Donald Trump.
767040	773820	And you can see where that might resonate with some people in a community that has had this complicated, as you say, relationship with law enforcement.
774160	777000	Oh, yeah, I've interviewed people in that same neighborhood in past years,
777000	783600	and I once met a voter who was 22 and said she'd already been jailed twice for things that she said she didn't do.
784360	787940	So to hold together that Democratic coalition, Harris needs law and order people
787940	792900	and also people who are skeptical of law and order as it is sometimes practiced in the United States,
792940	795100	and we can expect her record to be scrutinized.
795460	799800	Although I should add in that same neighborhood, I also found people who were very eager to vote for Harris,
800020	803340	excited to vote for a woman, and they were organizing with a new intensity.
803340	806840	That is Steve Inskiep in Pittsburgh. Steve, thank you.
807140	808460	Glad to do it.
812020	815660	And that's up first for Thursday, July 25th. I'm Michelle Martin.
816160	817800	And I'm Steve Inskiep. Consider this.
818180	821980	Kamala Harris will not be the first woman to lead a major party's presidential ticket,
822040	824080	but will be the first woman of color.
824500	829460	And though her nomination is not yet official, she's already the subject of racist attacks.
829940	832700	How does that affect her candidacy? Listen to consider this.
832700	837920	Today's episode of Up First was edited by Roberta Rampton, Gabriel Spitzer, Dana Farrington,
838160	839820	Janea Williams, and Alice Wolfley.
840200	843120	It was produced by Ziad Butch, Ben Abrams, and Milton Guevara.
843580	847480	We get engineering support from Carly Strange and our technical director, Zach Coleman.
847960	849160	We hope you'll join us again tomorrow.
874000	877360	This message comes from NPR sponsor Mint Mobile.
877760	880900	From the gas pump to the grocery store, inflation is everywhere.
881320	885660	So Mint Mobile is offering premium wireless starting at just $15 a month.
885940	891060	To get your new phone plan for just $15, go to mintmobile.com.slashswitch.
892060	894940	This message comes from NPR sponsor Warby Parker.
895480	900920	Their glasses start at $95, including anti-reflective scratch-resistant prescription lenses
900920	902940	that block 100% of UV rays.
903380	905500	Try five pairs of frames at home for free.
905820	908140	Go to warbyparker.com.slashcovered.
