start	end	text
350000	362000	Those who hope that the Negro needed to blow off steam and will now be content will have a rude awakening if the nation returns to business as usual.
376000	385000	And there will be neither rest nor tranquility in America until the Negro has granted his citizenship rights.
386000	395000	The whirlwinds of revolt will continue to shake the foundations of our nation until the bright day of justice emerges.
396000	405000	But that is something that I must say to my people who stand on the wrong threshold which leads into the palace of justice.
407000	415000	In the process of gaining our rightful place we must not be guilty of wrongful deeds.
416000	424000	Let us not seek to satisfy our thirst for freedom by drinking from the cup of goodness and hatred.
425000	438000	We must never conduct our struggle on the high plain of dignity and discipline.
439000	446000	We must not allow our freedom to protest through degenerating into physical violence.
446000	455000	Again and again we must rise to the majestic heights of meeting physical force with sole force.
456000	465000	The marvelous new militancy which has endorsed the Negro community must not lead us to a distrust of all white people.
466000	475000	For many of our white brothers as evidenced by their presence here today have come to realize that that can't be a sacrifice.
476000	490000	They have come to realize that our freedom is inextricably bound to our freedom.
491000	493000	We cannot walk alone.
494000	502000	As we walk we must make the pledge that we shall always march ahead.
503000	505000	We cannot turn back.
506000	513000	There are those who are asking the devotees of civil rights, when will you be satisfied?
514000	522000	We can never be satisfied as long as the Negro is the victim of all the unspeakable horrors of police brutality.
523000	525000	We can never be satisfied.
526000	536000	As long as our body is heavy with the fatigue of travel, we cannot gain marching in the motels of the highways and the hotels of the city.
543000	552000	We cannot be satisfied as long as the Negro in Mississippi cannot vote and the Negro in New York believes he has nothing for which to vote.
556000	572000	No, we are not satisfied and we will not be satisfied until justice rolls down like waters and righteousness like a mighty stream.
572000	592000	I am not unmindful that some of you have come here out of great trials and tribulations.
593000	597000	Some of you have come fresh from narrow jail sales.
598000	611000	Some of you have come from areas where your quest for freedom left you battered by the storms of persecution and staggered by the winds of police brutality.
612000	616000	You have been the veterans of creative suffering.
617000	624000	Continue to work with the faith that un-earned suffering is redemptive.
625000	638000	Go back to Mississippi, go back to Alabama, go back to South Carolina, go back to Georgia, go back to Louisiana, go back to the slums and ghettos of our northern cities.
639000	647000	Knowing that somehow this situation can and will be changed, let us not wallow in the valley of despair.
648000	667000	I say to you today, my friend, so even though we face the difficulties of today and tomorrow,
668000	671000	I still have a dream.
672000	676000	It is a dream deeply rooted in the American dream.
677000	689000	I have a dream that one day this nation will rise up and live out the true meaning of its creed.
690000	696000	We hold these truths to be self-evident that all men are created equal.
696000	722000	I have a dream that one day on the Red Hills of Georgia, the sons of former slaves and the sons of former slave owners will be able to sit down together at the table of brotherhood.
722000	744000	I have a dream that one day even the state of Mississippi, a state sweltering with the heat of injustice, sweltering with the heat of oppression, will be transformed into an oasis of freedom and justice.
744000	759000	I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character.
759000	787000	I have a dream that one day down in Alabama with its vicious racist, with its governor having his lips dripping with the words of interposition and nullification,
787000	797000	one day right down in Alabama, little black boys and black girls will be able to join hands with little white boys and white girls as sisters and brothers.
797000	799000	I have a dream today.
799000	819000	I have a dream that one day every valley shall be exalted, and every hill and mountain shall be made low, the rough places will be made plain, and the crooked places will be made straight,
819000	824000	and the glory of the Lord shall be revealed and all flesh shall see it together.
824000	826000	This is our hope.
826000	830000	This is the faith that I go back to the south with.
830000	837000	With this faith we will be able to hew out of the mountain of despair a stone of hope.
837000	847000	With this faith we will be able to transform the jangling discords of our nation into a beautiful symphony of brotherhood.
847000	861000	With this faith we will be able to work together, to pray together, to struggle together, to go to jail together, to stand up for freedom together knowing that we will be free one day.
861000	874000	This will be the day, this will be the day when all of God's children will be able to sing with new meaning my country tears at thee.
874000	882000	Sweet land of liberty of thee I sing, land where my fathers died, land of the pilgrims' pride.
882000	891000	From every mountainside let freedom ring, and if America is to be a great nation, this must become true.
891000	896000	So let freedom ring from the prodigious hill tops of New Hampshire.
896000	901000	Let freedom ring from the mighty mountains of New York.
901000	906000	Let freedom ring from the heightening alligators of Pennsylvania.
906000	910000	Let freedom ring from the snow-capped rockies of Colorado.
910000	915000	Let freedom ring from the curvaceous slopes of California.
915000	921000	But not only that, let freedom ring from Stone Mountain of Georgia.
921000	926000	Let freedom ring from Lookout Mountain of Tennessee.
926000	934000	Let freedom ring from every hill and mole hill of Mississippi, from every mountainside.
934000	950000	Let freedom ring and when this happens, when we allow freedom ring, when we let it ring from every village and every hamlet, from every state and every city,
951000	961000	we will be able to speed up that day when all of God's children, black men and white men, Jews and Gentiles, Protestants and Catholics,
961000	967000	will be able to join hands and sing in the words of the old Negro spiritual.
967000	973000	Free at last, free at last, thank God Almighty, we are free at last.
980000	982000	Thank you.
