start	end	text
498000	501000	tried to go to a mosque or Arab community event
501000	505000	and urged them to vote for Joe Biden, I would never be invited back.
505000	508000	The anger was so deep and the hurt was so deep.
508000	510000	Even for me, I tell people that.
510000	514000	And I think people would at least be open to hearing from her
514000	516000	and to let her make her case.
516000	519000	And some Democrats who voted uncommitted during the primaries
519000	522000	told me that they're willing to give Harris a chance.
522000	525000	I mean, to be clear, they are not saying they will definitively vote for her,
525000	527000	but there's a possibility.
527000	530000	I'll also say that Harris was one of the earlier people in the administration
530000	534000	to show a less dismissive response to some of the protests here at home.
534000	537000	Today, she is meeting separately with Israel's Prime Minister,
537000	538000	separately from Biden.
538000	540000	What do you expect from her meeting?
540000	544000	What I'm watching for is how closely she sticks to the president.
544000	547000	You know, she inherits this problem now in her campaign.
547000	550000	And following the attack in October that killed more than 1,200 people,
550000	554000	there are now more than 39,000 Palestinians who've been killed.
554000	556000	And there's still no ceasefire.
556000	559000	And some people will blame her because she is a part of this administration.
559000	561000	She has a real delicate balancing act,
561000	564000	where she's going to try not to alienate supporters of Israel,
564000	567000	who make up a key part of the Democratic Party,
567000	571000	but she's also trying to win back some of the young, progressive, brown and black voters
571000	574000	whom Biden alienated with some of his decisions about this war.
574000	577000	That is NPO's Asma Khaled. Asma, thank you.
577000	578000	Good to talk to you.
587000	590000	Vice President Harris faces another fundamental challenge.
590000	595000	To win the election, the likely Democratic nominee will have to hold together a broad coalition.
595000	597000	And they have some very different views on some issues.
597000	601000	President Biden managed this in 2020, but the coalition has frayed,
601000	604000	as we've just heard, and Harris is a different figure.
604000	607000	Her challenge becomes plain what comes to her record in law enforcement.
607000	610000	My co-host Steve Inskeep has been talking with voters in western Pennsylvania.
610000	612000	Steve, what did you find out?
612000	615000	Well, some contrasting opinions of a big part of Harris's resume.
615000	619000	Her history as a San Francisco prosecutor and California attorney general.
619000	624000	She raised this in her first campaign event while running for president,
624000	627000	talking of Donald Trump and saying as a prosecutor,
627000	630000	she knew what a predator was or a fraudster.
630000	634000	How voters take that message depends on who you talk to.
634000	638000	On NPR's morning edition yesterday, we heard Kathleen Madonna Emerling,
638000	641000	a Democratic Party activist in the Pittsburgh suburbs,
641000	643000	who really likes her new candidate.
643000	649000	My first thought was this is the ideal suburban candidate
649000	655000	because she straddles the line between being approachable,
655000	661000	relatable, joyful even, while also having incredible public safety credentials.
661000	669000	Because often in the suburbs, people want someone who is pro-public safety, pro-police.
669000	673000	Because many people in her suburb have military or police backgrounds.
673000	678000	And when you can say this is a clear case of a prosecutor against a felon,
678000	680000	it's a home run.
680000	684000	Although for some people in the Democratic Coalition, Michelle, this is a more complicated subject.
684000	689000	And I can co-sign that because I have, as they say, people of that way where you are.
689000	692000	So what is another way people see the vice president's record?
692000	695000	As a potential mark against her.
695000	699000	I also went into central Pittsburgh this week to the Hill District,
699000	703000	which is a historically black neighborhood, and talked with Adrienne Dilworth.
703000	706000	She said she had mixed feelings about Harris.
706000	710000	We spoke here while dodging cars in a grocery store parking lot.
710000	717000	I think they should have put out a broader net for candidates to see who could be actually the best
717000	722000	and not just, you know, like, okay, we're just going to push the VP for the position.
722000	725000	Why do you have mixed feelings about Vice President Harris?
725000	728000	Just some of her history.
728000	730000	We better get away from this.
730000	734000	It would be bad for the interview if you run over in the middle here.
734000	736000	Yeah, no, we're not going to have that.
736000	744000	From just some of what I'm hearing from her history of some of the people that she's had incarcerated in the past.
744000	747000	She was referring to part of Harris' record as a prosecutor.
747000	749000	She fought to put people in prison.
749000	753000	Sometimes she clashed with civil rights groups and activists over her decisions.
753000	756000	And she's been attacked over the years on the left for this.
756000	760000	Now the attack is being repeated by Republicans.
760000	767000	I guess you could say that Republicans are just trolling here, but they are also explicitly seeking some of the black vote for Donald Trump.
767000	774000	And you can see where that might resonate with some people in a community that has had this complicated, as you say, relationship with law enforcement.
774000	784000	Oh yeah, I've interviewed people in that same neighborhood in past years and I once met a voter who was 22 and said she'd already been jailed twice for things that she said she didn't do.
784000	793000	So to hold together that Democratic coalition, Harris needs law and order people and also people who are skeptical of law and order as it is sometimes practiced in the United States.
793000	795000	And we can expect her record to be scrutinized.
795000	801000	Although I should add in that same neighborhood, I also found people who were very eager to vote for Harris, excited to vote for a woman.
801000	804000	And they were organizing with a new intensity.
804000	806000	That is Steve Inskiep in Pittsburgh.
806000	807000	Steve, thank you.
807000	808000	Glad to do it.
808000	815000	And that's up first for Thursday, July 25th.
815000	816000	I'm Michelle Martin.
816000	817000	And I'm Steve Inskiep.
817000	818000	Consider this.
818000	824000	Kamala Harris will not be the first woman to lead a major party's presidential ticket, but will be the first woman of color.
824000	830000	And though her nomination is not yet official, she's already the subject of racist attacks.
830000	831000	How does that affect her candidacy?
831000	833000	Listen to consider this.
833000	840000	Today's episode of Up First was edited by Roberta Rampton, Gabriel Spitzer, Dana Farrington, Janea Williams, and Alice Wolfley.
840000	843000	It was produced by Ziyan Butch, Ben Abrams, and Milton Gibbara.
843000	848000	We get engineering support from Carly Strange and our technical director, Zach Coleman.
848000	850000	We hope you'll join us again tomorrow.
864000	871000	Or you can also support NPR's vital journalism and get up first plus at plus.npr.org.
871000	874000	That's plus.npr.org.
874000	877000	This message comes from NPR sponsor Mint Mobile.
877000	881000	From the gas pump to the grocery store, inflation is everywhere.
881000	886000	So Mint Mobile is offering premium wireless starting at just $15 a month.
886000	892000	To get your new phone plan for just $15, go to mintmobile.com slash switch.
892000	895000	This message comes from NPR sponsor Warby Parker.
895000	903000	Their glasses start at $95 including anti-reflective scratch resistant prescription lenses that block 100% of UV rays.
903000	905000	Try five pairs of frames at home for free.
905000	908000	Go to warbyparker.com slash covered.
